Date	Value
01.08.2021 0:00	1,259285
01.08.2021 8:00	1,271552
01.08.2021 16:00	1,366457
02.08.2021 0:00	1,280966
02.08.2021 8:00	1,357296
02.08.2021 16:00	1,330156
03.08.2021 0:00	1,353733
03.08.2021 8:00	1,350605
03.08.2021 16:00	1,362321
04.08.2021 0:00	1,434754
04.08.2021 8:00	1,433779
04.08.2021 16:00	1,382988
05.08.2021 0:00	1,395132
05.08.2021 8:00	1,404858
05.08.2021 16:00	1,399643
06.08.2021 0:00	1,374157
06.08.2021 8:00	1,423987
06.08.2021 16:00	1,466899
07.08.2021 0:00	1,425791
07.08.2021 8:00	1,37963
07.08.2021 16:00	1,369095
08.08.2021 0:00	1,386329
08.08.2021 8:00	1,346837
08.08.2021 16:00	1,355806
09.08.2021 0:00	1,359835
09.08.2021 8:00	1,350851
09.08.2021 16:00	1,347474
10.08.2021 0:00	1,364889
10.08.2021 8:00	1,379811
10.08.2021 16:00	1,341164
11.08.2021 0:00	1,407998
11.08.2021 8:00	1,420721
11.08.2021 16:00	1,416276
12.08.2021 0:00	1,383137
12.08.2021 8:00	0,7592423
12.08.2021 16:00	1,312795
13.08.2021 0:00	1,443029
13.08.2021 8:00	1,402832
13.08.2021 16:00	1,422751
14.08.2021 0:00	1,443071
14.08.2021 8:00	1,45754
14.08.2021 16:00	1,48554
15.08.2021 0:00	1,468588
15.08.2021 8:00	1,486022
15.08.2021 16:00	1,503897
16.08.2021 0:00	1,510253
16.08.2021 8:00	1,408765
16.08.2021 16:00	1,392726
17.08.2021 0:00	1,384211
17.08.2021 8:00	1,315012
17.08.2021 16:00	1,289708
18.08.2021 0:00	1,285041
18.08.2021 8:00	1,321895
18.08.2021 16:00	1,315977
19.08.2021 0:00	1,376062
19.08.2021 8:00	1,456692
19.08.2021 16:00	1,46315
20.08.2021 0:00	1,472093
20.08.2021 8:00	1,436136
20.08.2021 16:00	1,42239
21.08.2021 0:00	1,460224
21.08.2021 8:00	1,43025
21.08.2021 16:00	1,390839
22.08.2021 0:00	1,330711
22.08.2021 8:00	1,363994
22.08.2021 16:00	1,382546
23.08.2021 0:00	1,398908
23.08.2021 8:00	1,456588
23.08.2021 16:00	1,390497
24.08.2021 0:00	1,398146
24.08.2021 8:00	1,388119
24.08.2021 16:00	1,351188
25.08.2021 0:00	1,287261
25.08.2021 8:00	1,326523
25.08.2021 16:00	1,390497
26.08.2021 0:00	1,369201
26.08.2021 8:00	1,410896
26.08.2021 16:00	1,394402
27.08.2021 0:00	1,418791
27.08.2021 8:00	1,452599
27.08.2021 16:00	1,4844
28.08.2021 0:00	1,409989
28.08.2021 8:00	1,403855
28.08.2021 16:00	1,414479
29.08.2021 0:00	1,479981
29.08.2021 8:00	1,451953
29.08.2021 16:00	1,450428
30.08.2021 0:00	1,408779
30.08.2021 8:00	1,392431
30.08.2021 16:00	1,340735
31.08.2021 0:00	1,33927
31.08.2021 8:00	1,337344
31.08.2021 16:00	1,397647
01.09.2021 0:00	1,377378
01.09.2021 8:00	1,333786
01.09.2021 16:00	1,418484
02.09.2021 0:00	1,4672
02.09.2021 8:00	1,40547
02.09.2021 16:00	1,441291
03.09.2021 0:00	1,441671
03.09.2021 8:00	1,412338
03.09.2021 16:00	1,393722
04.09.2021 0:00	1,441505
04.09.2021 8:00	1,408452
04.09.2021 16:00	1,45537
05.09.2021 0:00	1,413024
05.09.2021 8:00	1,345498
05.09.2021 16:00	1,35395
06.09.2021 0:00	1,360875
06.09.2021 8:00	1,348617
06.09.2021 16:00	1,296546
07.09.2021 0:00	1,235194
07.09.2021 8:00	1,297315
07.09.2021 16:00	1,28044
08.09.2021 0:00	1,419158
08.09.2021 8:00	1,413026
08.09.2021 16:00	1,353888
09.09.2021 0:00	1,344468
09.09.2021 8:00	1,329773
09.09.2021 16:00	1,313318
10.09.2021 0:00	1,266457
10.09.2021 8:00	1,314388
10.09.2021 16:00	1,36238
11.09.2021 0:00	1,362429
11.09.2021 8:00	1,348611
11.09.2021 16:00	1,37405
12.09.2021 0:00	1,312253
12.09.2021 8:00	1,312567
12.09.2021 16:00	1,335522
13.09.2021 0:00	1,358148
13.09.2021 8:00	1,321707
13.09.2021 16:00	1,328938
14.09.2021 0:00	1,3981
14.09.2021 8:00	1,244935
14.09.2021 16:00	1,204921
15.09.2021 0:00	1,162178
15.09.2021 8:00	1,167008
15.09.2021 16:00	1,288702
16.09.2021 0:00	1,29816
16.09.2021 8:00	1,385065
16.09.2021 16:00	1,284284
17.09.2021 0:00	1,385246
17.09.2021 8:00	1,239364
17.09.2021 16:00	1,274381
18.09.2021 0:00	1,299023
18.09.2021 8:00	1,310533
18.09.2021 16:00	1,320641
19.09.2021 0:00	1,330771
19.09.2021 8:00	1,385851
19.09.2021 16:00	1,356353
20.09.2021 0:00	1,401202
20.09.2021 8:00	1,414138
20.09.2021 16:00	1,427961
21.09.2021 0:00	1,418576
21.09.2021 8:00	1,432523
21.09.2021 16:00	1,412109
22.09.2021 0:00	1,346284
22.09.2021 8:00	1,377129
22.09.2021 16:00	1,314947
23.09.2021 0:00	1,24774
23.09.2021 8:00	1,210364
23.09.2021 16:00	1,159733
24.09.2021 0:00	1,17212
24.09.2021 8:00	1,31058
24.09.2021 16:00	1,318027
25.09.2021 0:00	1,274396
25.09.2021 8:00	1,320893
25.09.2021 16:00	1,31386
26.09.2021 0:00	1,396235
26.09.2021 8:00	1,345768
26.09.2021 16:00	1,256443
27.09.2021 0:00	1,215102
27.09.2021 8:00	1,248565
27.09.2021 16:00	1,228617
28.09.2021 0:00	1,259002
28.09.2021 8:00	1,325428
28.09.2021 16:00	1,284038
29.09.2021 0:00	0,4975401
29.09.2021 8:00	-0,007682623
29.09.2021 16:00	-0,003985124
30.09.2021 0:00	-0,007672047
30.09.2021 8:00	-0,007724178
30.09.2021 16:00	-0,007674772
01.10.2021 0:00	-0,0076723
01.10.2021 8:00	-0,007535402
01.10.2021 16:00	-0,007877694
02.10.2021 0:00	-0,004283259
02.10.2021 8:00	-0,00435083
02.10.2021 16:00	-0,008508944
03.10.2021 0:00	0,2650606
03.10.2021 8:00	0,3867472
03.10.2021 16:00	0,5963795
04.10.2021 0:00	0,6885287
04.10.2021 8:00	0,6476012
04.10.2021 16:00	0,5979829
05.10.2021 0:00	0,8466326
05.10.2021 8:00	0,8944349
05.10.2021 16:00	0,932246
06.10.2021 0:00	1,090706
06.10.2021 8:00	1,239366
06.10.2021 16:00	1,225768
07.10.2021 0:00	1,234936
07.10.2021 8:00	1,244537
07.10.2021 16:00	1,234347
08.10.2021 0:00	1,234854
08.10.2021 8:00	1,272427
08.10.2021 16:00	1,264397
09.10.2021 0:00	1,273628
